,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,FamilySize,Enrolled,Total
0,Graduation,Alone,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,66,1,11,1617
1,Graduation,Alone,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,69,3,9,27
2,Graduation,Together,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,58,2,10,776
3,Graduation,Together,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,39,3,9,53
4,PostGraduated,Together,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,42,3,9,422
5,PostGraduated,Together,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,56,3,10,716
6,Graduation,Alone,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,52,2,11,590
7,PostGraduated,Together,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,38,3,10,169
8,PostGraduated,Together,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,49,3,10,46
9,PostGraduated,Together,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,73,4,9,49
11,UnderGraduate,Together,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,47,2,11,61
12,Graduation,Alone,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,64,1,10,1102
13,PostGraduated,Alone,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,71,3,10,310
14,Graduation,Together,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,36,2,11,46
15,PostGraduated,Alone,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,77,1,11,1315
16,Graduation,Together,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,43,4,11,96
17,Graduation,Together,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,77,2,11,317
18,PostGraduated,Together,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,74,3,10,1782
19,UnderGraduate,Alone,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,38,2,11,133
20,Graduation,Together,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,41,2,11,316
21,Graduation,Together,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,44,3,10,1730
22,PostGraduated,Together,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,74,3,11,972
23,PostGraduated,Together,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,69,3,9,544
24,Graduation,Together,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,72,3,10,444
25,Graduation,Alone,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,54,1,10,75
26,Graduation,Together,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,47,4,10,257
28,Graduation,Together,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,34,3,10,131
29,PostGraduated,Together,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,58,2,10,1672
